30, 29
30, 30
30, 31
30, 32
30, 33
30, 34
30, 35
30, 36
30, 37
30, 38
30, 39
30, 40
30, 41
31, 29
31, 30
31, 34
31, 35
31, 36
31, 40
31, 41
32, 29
32, 41
33, 29
33, 41
34, 29
34, 41
35, 29
35, 30
35, 34
35, 35
35, 36
35, 40
35, 41
36, 29
36, 30
36, 34
36, 35
36, 36
36, 40
36, 41
37, 29
37, 30
37, 34
37, 35
37, 36
37, 40
37, 41
38, 29
38, 41
39, 29
39, 41
40, 29
40, 41
41, 29
41, 30
41, 34
41, 35
41, 36
41, 40
41, 41
42, 29
42, 30
42, 31
42, 32
42, 33
42, 34
42, 35
42, 36
42, 37
42, 38
42, 39
42, 40
42, 41
